Name,Genre,Price,Positive_Reviews,Negative_Reviews,Developer,Release_Date
PAYDAY™ The Heist,Action,10.99,34645,2533,OVERKILL Software,2011-10-20
King Arthur - The Role-playing Wargame,RPG;Strategy,7.99,307,113,NeocoreGames,2009-11-24
Crusaders: Thy Kingdom Come,Strategy,6.99,13,11,NeocoreGames,2009-10-08
Aquaria,Indie,6.99,1008,133,"Bit Blot, LLC",2008-12-15
King Arthur: Fallen Champions,RPG;Strategy,3.99,13,20,NeocoreGames,2011-09-16
King Arthur II: The Role-Playing Wargame,RPG;Strategy,7.99,188,169,NeocoreGames,2012-01-27
Trainz: Classic Cabon City,Simulation,14.99,14,29,N3V Games,2010-09-01
Trainz Settle and Carlisle,Simulation,14.99,13,17,N3V Games,2010-10-01
Trainz™ Simulator 12,Simulation,7.19,498,364,N3V Games,2011-06-08
SPORE™ Galactic Adventures,Action;Simulation,9.99,1943,453,EA - Maxis,2009-06-26
Burnout Paradise: The Ultimate Box,Racing,9.99,9739,1487,Criterion Games,2009-03-12
SimCity™ 4 Deluxe Edition,Simulation;Strategy,9.99,3110,959,EA - Maxis;Aspyr (Mac),2010-07-20
Command & Conquer 3: Tiberium Wars,Strategy,9.99,2292,295,EA Los Angeles,2009-11-13
Command & Conquer: Red Alert 3 - Uprising,Strategy,9.99,1449,362,EA Los Angeles,2009-10-06
Command & Conquer 3: Kane's Wrath,Strategy,9.99,1070,76,EA Los Angeles,2009-11-13
Medal of Honor: Airborne,Action,9.99,1725,461,EA Los Angeles,2009-10-06
Need for Speed: Shift,Racing,9.99,1101,415,Slightly Mad Studios,2009-10-06
Battlefield: Bad Company™ 2,Action,14.99,23093,3877,DICE,2010-03-02
Mass Effect 2,RPG,19.99,10675,542,BioWare,2010-01-28
Overgrowth,Action;Indie,22.99,3200,1315,Wolfire Games,2017-10-16
Lugaru HD,Action,7.99,321,98,Wolfire Games,2010-10-08
Cricket Revolution,Indie;Simulation;Sports,1.99,63,50,Mindstorm Studios,2009-10-28
Eschalon: Book I,Indie;RPG,0.0,167,25,Basilisk Games,2009-02-10
Eschalon: Book II,Indie;RPG,4.79,58,12,Basilisk Games,2010-07-12
Madballs in Babo:Invasion ,Indie,3.99,198,38,Playbrains,2009-09-17
Europa Universalis III Complete,Strategy,9.99,1191,245,Paradox Development Studio,2009-02-04
Knights of Honor,Strategy,7.49,1018,89,Black Sea Studios Ltd,2009-02-04
Elven Legacy,RPG;Strategy,3.99,76,29,1C:InoCo,2009-04-07
Hearts of Iron III,Strategy,7.99,3298,992,Paradox Development Studio,2009-08-07
King's Bounty: The Legend,RPG;Strategy,4.99,1290,139,1C Entertainment,2009-05-01
Supreme Ruler 2020 Gold,Strategy,6.99,138,36,BattleGoat Studios,2009-07-09
East India Company,Strategy,7.99,45,48,Nitro Games,2009-07-31
Majesty 2,Simulation;Strategy,7.99,305,130,1C:InoCo,2009-09-17
Majesty Gold HD,Strategy;Simulation,7.99,326,20,Cyberlore,2009-09-04
The Maw,Action;Indie,8.99,161,36,Twisted Pixel Games,2009-03-09
Drug Wars,Action;Indie,3.99,13,31,Paleo Entertainment,2009-03-17
Braid,Casual;Indie;Strategy,10.99,6529,386,Number None,2009-04-10
Crayon Physics Deluxe,Casual;Indie,15.99,668,109,Kloonigames,2009-05-06
The Path,Adventure;Indie,6.99,502,177,Tale of Tales,2009-03-18
The Graveyard,Indie;Simulation,3.99,305,199,Tale of Tales,2009-03-09
Fatale,Adventure;Casual;Indie,4.99,53,44,Tale of Tales,2009-11-04
Summer Athletics,Sports,15.99,14,10,49 Games,2009-04-02
Blacklight: Tango Down,Action,0.79,132,209,Zombie Studios,2010-07-14
Dangerous High School Girls in Trouble!™,RPG;Indie;Casual,14.99,111,63,Mousechief,2009-02-23
Mevo and The Grooveriders,Indie;Casual,5.99,23,2,Red Rocket Games,2009-03-20
Space Giraffe,Indie,6.99,36,17,Llamasoft LTD,2009-03-19
Gridrunner Revolution,Indie,5.99,36,9,Llamasoft LTD,2010-02-22
Twin Sector,Action;Adventure,3.99,88,150,DnS Development,2009-09-16
Booster Trooper,Action;Indie,1.69,91,94,DnS Development,2010-04-23
Dead Horde,Action;Indie,4.79,206,406,DnS Development,2011-07-27
Kane & Lynch 2: Dog Days,Action,7.99,2822,1919,IO Interactive,2010-08-17
Yumsters 2: Around the World,Indie;Casual,3.99,53,26,KranX Productions,2009-11-12
Musaic Box,Indie;Casual,3.99,178,12,KranX Productions,2009-03-19
Blueberry Garden,Adventure;Indie,3.99,96,28,Erik Svedäng,2009-06-01
Osmos,Indie;Casual,6.99,857,105,Hemisphere Games,2009-08-18
Caster,Action;Adventure;Casual;Indie;RPG;Strategy,0.99,3277,868,Elecorn,2009-03-19
Dark Sector,Action,6.99,337,96,Digital Extremes,2009-03-24
Puzzle Agent,Adventure;Casual,3.99,1574,214,Telltale Games,2010-07-01
Tunnel Rats,Action,15.99,11,19,Replay Studios,2009-05-15
Nancy Drew®: Danger by Design,Adventure,5.19,15,9,HeR Interactive,2009-10-10
Nancy Drew®: Last Train to Blue Moon Canyon,Adventure,5.19,50,4,HeR Interactive,2009-10-10
Nancy Drew®: The Haunted Carousel,Adventure,5.19,35,6,HeR Interactive,2009-10-10
Nancy Drew®: Curse of Blackmoor Manor,Adventure,5.19,66,7,HeR Interactive,2009-10-10
Nancy Drew®: Danger on Deception Island,Adventure,5.19,32,2,HeR Interactive,2009-10-10
Nancy Drew®: Ghost Dogs of Moon Lake,Adventure,5.19,34,4,HeR Interactive,2009-10-10
Nancy Drew®: Legend of the Crystal Skull,Adventure,5.19,24,3,HeR Interactive,2009-07-17
"Nancy Drew® Dossier: Lights, Camera, Curses!",Adventure;Casual,5.19,10,12,HeR Interactive,2009-07-17
Nancy Drew®: Secret of the Old Clock,Adventure,5.19,28,2,HeR Interactive,2009-10-10
Nancy Drew®: Secret of the Scarlet Hand,Action,5.19,20,3,HeR Interactive,2009-10-10
Nancy Drew®: The Creature of Kapu Cave,Adventure,5.19,19,7,HeR Interactive,2009-07-17
Nancy Drew®: The Haunting of Castle Malloy,Adventure,5.19,26,6,HeR Interactive,2009-07-17
Nancy Drew®: The Phantom of Venice,Adventure,5.19,19,6,HeR Interactive,2009-07-17
Nancy Drew®: The White Wolf of Icicle Creek,Adventure,5.19,27,9,HeR Interactive,2009-07-17
Nancy Drew®: Ransom of the Seven Ships,Adventure,5.19,18,9,HeR Interactive,2009-07-21
Raycatcher,Indie;Casual,3.99,0,13,Thinking Studios;Slam Dunk Studios,2009-04-17
LUXOR: Mah Jong,Casual,5.99,43,13,MumboJumbo,2009-07-13
Chainz 2: Relinked,Casual,6.99,24,18,MumboJumbo,2009-07-13
Midnight Mysteries,Adventure;Casual,5.99,89,40,MumboJumbo,2009-09-28
Everyday Genius: SquareLogic,Casual;Indie;Strategy,3.99,303,6,TrueThought,2009-10-21
Zombie Bowl-o-Rama,Sports;Casual,6.99,244,44,MumboJumbo,2009-10-15
Metal Drift,Action;Indie;Racing;Sports,6.99,81,45,Black Jacket Studios,2009-10-22
Indiana Jones® and the Last Crusade™,Adventure,4.79,121,32,LucasArts,2009-07-08
LEGO® Indiana Jones™: The Original Adventures,Action;Adventure,15.49,305,87,Traveller's Tales,2009-07-08
LOOM™,Adventure,4.79,306,41,LucasArts,2009-07-08
STAR WARS™ Starfighter™,Action;Simulation,4.79,221,235,LucasArts,2009-07-08
The Secret of Monkey Island: Special Edition,Adventure,7.19,2156,115,LucasArts,2009-07-15
STAR WARS™ - Knights of the Old Republic™,Adventure;RPG,7.19,11569,1590,BioWare;Aspyr (Mac),2009-09-05
STAR WARS™ Jedi Knight: Dark Forces II,Action,4.79,777,315,LucasArts,2009-09-16
STAR WARS™ Jedi Knight - Mysteries of the Sith™,Action,2.09,366,192,LucasArts,2009-09-16
STAR WARS™ - Dark Forces,Action,4.79,1501,171,LucasArts,2009-09-16
Lucidity™,Casual,4.79,37,16,LucasArts,2009-10-07
STAR WARS™: The Clone Wars - Republic Heroes™,Action,15.49,166,279,Krome Studios,2009-10-06
STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,Action,15.49,2287,1389,LucasArts;Aspyr Studios,2009-12-15
LEGO® Star Wars™ - The Complete Saga,Adventure,15.49,3033,256,Traveller's Tales;Feral Interactive (Mac),2009-11-12
LEGO® Indiana Jones™ 2: The Adventure Continues,Adventure,15.49,163,58,Traveller's Tales,2010-02-18
Monkey Island™ 2 Special Edition: LeChuck’s Revenge™,Adventure,7.19,1194,63,LucasArts,2010-07-07
STAR WARS™ Empire at War - Gold Pack,Strategy,15.49,6526,396,Petroglyph,2010-05-25
STAR WARS™: The Force Unleashed™ II,Action,15.49,1880,1348,Aspyr Studios,2010-11-23
LEGO® Star Wars™ III - The Clone Wars™,Action;Adventure,15.49,825,140,Traveller's Tales,2011-03-22
Delta Force Xtreme 2,Action,14.99,50,36,NovaLogic,2009-06-18
Delta Force,Action,3.99,220,24,NovaLogic,2009-06-18
Delta Force 2,Action,3.99,166,26,NovaLogic,2009-06-18
Delta Force Land Warrior,Action,6.99,121,11,NovaLogic,2009-06-18
Delta Force: Task Force Dagger,Action,6.99,58,14,NovaLogic,2009-06-18
Delta Force: Xtreme,Action,14.99,41,14,NovaLogic,2009-06-18
Delta Force: Black Hawk Down,Action,0.0,258,23,NovaLogic,2009-06-18
Delta Force — Black Hawk Down: Team Sabre,Action,0.0,167,17,Ritual Entertainment,2009-06-18
Armored Fist 3,Simulation,6.99,27,8,NovaLogic,2009-06-18
F-16 Multirole Fighter,Simulation,6.99,36,13,NovaLogic,2009-06-18
F-22 Lightning 3,Simulation,6.99,47,27,NovaLogic,2009-06-18
MiG-29 Fulcrum,Simulation,6.99,33,8,NovaLogic,2009-06-01
Comanche 4,Action;Simulation,6.99,93,16,NovaLogic,2009-06-18
Tachyon: The Fringe,Simulation,6.99,102,15,NovaLogic,2009-06-18
Joint Operations: Combined Arms Gold,Action,14.99,121,17,NovaLogic,2009-09-29
Restaurant Empire II,Casual;Indie;Simulation;Strategy,13.99,112,65,Enlight Software Limited,2009-05-27
Alien Shooter,Action;Indie;RPG,3.99,815,92,Sigma Team Inc.,2009-05-27
Alien Shooter: Revisited,Action;Indie;RPG,3.99,150,79,Sigma Team Inc.,2009-05-27
Alien Shooter 2: Reloaded,Action;Indie;RPG,3.99,995,84,Sigma Team Inc.,2009-05-27
Zombie Shooter,Action;Indie;RPG,3.99,410,73,Sigma Team Inc.,2009-05-27
Zombie Shooter 2,Action;Indie;RPG,7.19,291,85,Sigma Team Inc.,2009-11-18
Assassin's Creed 2 Deluxe Edition,Action;Adventure,8.59,14861,2639,Ubisoft Montreal,2010-03-04
Prince of Persia: The Forgotten Sands™,Action;Adventure,8.59,511,263,Ubisoft Montreal,2010-06-10
Zeit²,Action;Indie,8.59,26,7,Brightside Games,2011-01-12
From Dust,Adventure;Simulation,8.59,1356,750,Ubisoft Montpellier,2011-08-17
Tropico Reloaded,Simulation;Strategy,5.99,412,60,PopTop Software;BreakAway Games;Frog City Software,2009-07-24
Patrician III,RPG;Simulation;Strategy,3.99,289,86,Ascaron Entertainment ltd.,2010-11-18
Broken Sword 2 - the Smoking Mirror: Remastered,Adventure,4.99,432,51,Revolution Software Ltd,2009-12-02
Broken Sword 3 - the Sleeping Dragon,Adventure,4.99,181,167,Revolution Software Ltd,2009-12-02
Crash Time 3,Action;Racing,3.99,228,64,Synetic,2009-11-25
Puzzler World,Casual,4.99,299,37,Ideas Pad,2010-05-28
Ziro,Casual;Indie,4.99,21,7,Kokakiki,2010-05-28
Disciples III - Renaissance Steam Special Edition,Strategy;RPG,9.99,166,134,Akella;.dat,2010-07-13
eversion,Indie,3.99,955,92,Zaratustra Productions,2010-06-07
The Search for Amelia Earhart,Casual,4.99,1,4,Bamtang,2010-02-22
